"Step","GNN_cgp_1 - assay_corr_sp","GNN_cgp_1 - assay_corr_sp__MIN","GNN_cgp_1 - assay_corr_sp__MAX","GNN_cgp_999 - assay_corr_sp","GNN_cgp_999 - assay_corr_sp__MIN","GNN_cgp_999 - assay_corr_sp__MAX","GNN_cgp_42 - assay_corr_sp","GNN_cgp_42 - assay_corr_sp__MIN","GNN_cgp_42 - assay_corr_sp__MAX"
"0","0.3489000647236674","0.3489000647236674","0.3489000647236674","0.12597670980484757","0.12597670980484757","0.12597670980484757","0.3013848828248353","0.3013848828248353","0.3013848828248353"
"1","0.47410094910828254","0.47410094910828254","0.47410094910828254","0.32993106510780196","0.32993106510780196","0.32993106510780196","0.3878361912234025","0.3878361912234025","0.3878361912234025"
"2","0.505221481939904","0.505221481939904","0.505221481939904","0.42685468070334504","0.42685468070334504","0.42685468070334504","0.4810925512984179","0.4810925512984179","0.4810925512984179"
"3","0.5686331149541558","0.5686331149541558","0.5686331149541558","0.5158475595312926","0.5158475595312926","0.5158475595312926","0.517314610901402","0.517314610901402","0.517314610901402"
"4","0.5904075756222639","0.5904075756222639","0.5904075756222639","0.5185241307638704","0.5185241307638704","0.5185241307638704","0.5628236227923861","0.5628236227923861","0.5628236227923861"
"5","0.6092323506789532","0.6092323506789532","0.6092323506789532","0.5733609483665895","0.5733609483665895","0.5733609483665895","0.592558746604804","0.592558746604804","0.592558746604804"
"6","0.6280652239859248","0.6280652239859248","0.6280652239859248","0.5838809912526178","0.5838809912526178","0.5838809912526178","0.6026591213309503","0.6026591213309503","0.6026591213309503"
"7","0.6381695638864076","0.6381695638864076","0.6381695638864076","0.6167716963069554","0.6167716963069554","0.6167716963069554","0.6089986113990535","0.6089986113990535","0.6089986113990535"
"8","0.6565996372990395","0.6565996372990395","0.6565996372990395","0.6253024781252664","0.6253024781252664","0.6253024781252664","0.6294503874996552","0.6294503874996552","0.6294503874996552"
"9","0.6476035632136858","0.6476035632136858","0.6476035632136858","0.6308438618486821","0.6308438618486821","0.6308438618486821","0.6200940839231097","0.6200940839231097","0.6200940839231097"
"10","0.6463857596566095","0.6463857596566095","0.6463857596566095","0.63309043597062","0.63309043597062","0.63309043597062","0.6418709168163967","0.6418709168163967","0.6418709168163967"
"11","0.6725914348188171","0.6725914348188171","0.6725914348188171","0.6308884543680773","0.6308884543680773","0.6308884543680773","0.6469672883984405","0.6469672883984405","0.6469672883984405"
"12","0.6755763317468351","0.6755763317468351","0.6755763317468351","0.6531771954098147","0.6531771954098147","0.6531771954098147","0.662903051636697","0.662903051636697","0.662903051636697"
"13","0.6610757816650759","0.6610757816650759","0.6610757816650759","0.6461919525638564","0.6461919525638564","0.6461919525638564","0.6654399301025803","0.6654399301025803","0.6654399301025803"
"14","0.6785249455360411","0.6785249455360411","0.6785249455360411","0.6688319965802233","0.6688319965802233","0.6688319965802233","0.6634350262239481","0.6634350262239481","0.6634350262239481"
"15","0.6756878008680257","0.6756878008680257","0.6756878008680257","0.6772717355838854","0.6772717355838854","0.6772717355838854","0.6761334315089983","0.6761334315089983","0.6761334315089983"
"16","0.6880768260531269","0.6880768260531269","0.6880768260531269","0.6633515171639317","0.6633515171639317","0.6633515171639317","0.6704936228373332","0.6704936228373332","0.6704936228373332"
"17","0.6833348191035068","0.6833348191035068","0.6833348191035068","0.6831877749057342","0.6831877749057342","0.6831877749057342","0.6831574879053738","0.6831574879053738","0.6831574879053738"
"18","0.6955620726660404","0.6955620726660404","0.6955620726660404","0.6731044332077237","0.6731044332077237","0.6731044332077237","0.6856010180572204","0.6856010180572204","0.6856010180572204"
"19","0.6938320090470791","0.6938320090470791","0.6938320090470791","0.6746600228792886","0.6746600228792886","0.6746600228792886","0.6786764544996978","0.6786764544996978","0.6786764544996978"
"20","0.7025798831468043","0.7025798831468043","0.7025798831468043","0.6908458227818476","0.6908458227818476","0.6908458227818476","0.69550857727757","0.69550857727757","0.69550857727757"
"21","0.6995645966416116","0.6995645966416116","0.6995645966416116","0.6878263001413185","0.6878263001413185","0.6878263001413185","0.6978060294449473","0.6978060294449473","0.6978060294449473"
"22","0.7124808350460536","0.7124808350460536","0.7124808350460536","0.6944537120924454","0.6944537120924454","0.6944537120924454","0.7092139360634728","0.7092139360634728","0.7092139360634728"
"23","0.7050364999502495","0.7050364999502495","0.7050364999502495","0.6960961002561568","0.6960961002561568","0.6960961002561568","0.7017749387327998","0.7017749387327998","0.7017749387327998"
"24","0.7099354520769319","0.7099354520769319","0.7099354520769319","0.7065525167153217","0.7065525167153217","0.7065525167153217","0.6985017000861081","0.6985017000861081","0.6985017000861081"
"25","0.7107182955220713","0.7107182955220713","0.7107182955220713","0.6989880016655549","0.6989880016655549","0.6989880016655549","0.7023527581465154","0.7023527581465154","0.7023527581465154"
"26","0.7158921683086371","0.7158921683086371","0.7158921683086371","0.7015295069306329","0.7015295069306329","0.7015295069306329","0.7175394807429621","0.7175394807429621","0.7175394807429621"
"27","0.714917382247208","0.714917382247208","0.714917382247208","0.7139067926453198","0.7139067926453198","0.7139067926453198","0.7208548056257114","0.7208548056257114","0.7208548056257114"
"28","0.7224390423686462","0.7224390423686462","0.7224390423686462","0.7106008201724449","0.7106008201724449","0.7106008201724449","0.7149748520913055","0.7149748520913055","0.7149748520913055"
"29","0.7214882433517232","0.7214882433517232","0.7214882433517232","0.7083566291425288","0.7083566291425288","0.7083566291425288","0.7174407212159789","0.7174407212159789","0.7174407212159789"