"Step","GNN_go_1 - assay_corr_sp","GNN_go_1 - assay_corr_sp__MIN","GNN_go_1 - assay_corr_sp__MAX","GNN_go_999 - assay_corr_sp","GNN_go_999 - assay_corr_sp__MIN","GNN_go_999 - assay_corr_sp__MAX","GNN_go_42 - assay_corr_sp","GNN_go_42 - assay_corr_sp__MIN","GNN_go_42 - assay_corr_sp__MAX"
"0","0.17756717101109235","0.17756717101109235","0.17756717101109235","0.22189714090104856","0.22189714090104856","0.22189714090104856","0.1718291049479143","0.1718291049479143","0.1718291049479143"
"1","0.36683633638928687","0.36683633638928687","0.36683633638928687","0.2848600035376229","0.2848600035376229","0.2848600035376229","0.3595924158641755","0.3595924158641755","0.3595924158641755"
"2","0.44693174836984606","0.44693174836984606","0.44693174836984606","0.41790156496930586","0.41790156496930586","0.41790156496930586","0.44950595839578467","0.44950595839578467","0.44950595839578467"
"3","0.5009510897486086","0.5009510897486086","0.5009510897486086","0.5101888960933748","0.5101888960933748","0.5101888960933748","0.5268879809215309","0.5268879809215309","0.5268879809215309"
"4","0.5398911780721167","0.5398911780721167","0.5398911780721167","0.5648224136024492","0.5648224136024492","0.5648224136024492","0.5557976706779373","0.5557976706779373","0.5557976706779373"
"5","0.565412590435533","0.565412590435533","0.565412590435533","0.6094110402288392","0.6094110402288392","0.6094110402288392","0.5554788887829926","0.5554788887829926","0.5554788887829926"
"6","0.5830191436778419","0.5830191436778419","0.5830191436778419","0.6151872254104327","0.6151872254104327","0.6151872254104327","0.5780254213282339","0.5780254213282339","0.5780254213282339"
"7","0.6028386384891853","0.6028386384891853","0.6028386384891853","0.6390177177049761","0.6390177177049761","0.6390177177049761","0.606511056524427","0.606511056524427","0.606511056524427"
"8","0.6350192515583284","0.6350192515583284","0.6350192515583284","0.6502517696001653","0.6502517696001653","0.6502517696001653","0.6257322548016159","0.6257322548016159","0.6257322548016159"
"9","0.6240784941846172","0.6240784941846172","0.6240784941846172","0.6709796124731706","0.6709796124731706","0.6709796124731706","0.643583945865612","0.643583945865612","0.643583945865612"
"10","0.636153305900361","0.636153305900361","0.636153305900361","0.6597829355517468","0.6597829355517468","0.6597829355517468","0.6603523935854214","0.6603523935854214","0.6603523935854214"
"11","0.6550598708552808","0.6550598708552808","0.6550598708552808","0.6730839527719445","0.6730839527719445","0.6730839527719445","0.6608188313131356","0.6608188313131356","0.6608188313131356"
"12","0.658916861720169","0.658916861720169","0.658916861720169","0.6936189163277069","0.6936189163277069","0.6936189163277069","0.6768466087684987","0.6768466087684987","0.6768466087684987"
"13","0.6735859771599604","0.6735859771599604","0.6735859771599604","0.6785411982398788","0.6785411982398788","0.6785411982398788","0.6706827277852411","0.6706827277852411","0.6706827277852411"
"14","0.6816095731624574","0.6816095731624574","0.6816095731624574","0.6802900864322176","0.6802900864322176","0.6802900864322176","0.6869206093282305","0.6869206093282305","0.6869206093282305"
"15","0.6741000478149002","0.6741000478149002","0.6741000478149002","0.7106024036720339","0.7106024036720339","0.7106024036720339","0.688129650302913","0.688129650302913","0.688129650302913"
"16","0.6943029570733386","0.6943029570733386","0.6943029570733386","0.7042333121047339","0.7042333121047339","0.7042333121047339","0.681704705608458","0.681704705608458","0.681704705608458"
"17","0.6873680427887104","0.6873680427887104","0.6873680427887104","0.6949422150542451","0.6949422150542451","0.6949422150542451","0.7013307606979503","0.7013307606979503","0.7013307606979503"
"18","0.6970399564938246","0.6970399564938246","0.6970399564938246","0.7093985993234312","0.7093985993234312","0.7093985993234312","0.7041004916817366","0.7041004916817366","0.7041004916817366"
"19","0.6942557199305138","0.6942557199305138","0.6942557199305138","0.7109940211597254","0.7109940211597254","0.7109940211597254","0.7097715440353395","0.7097715440353395","0.7097715440353395"
"20","0.7033211835092935","0.7033211835092935","0.7033211835092935","0.7175665517111062","0.7175665517111062","0.7175665517111062","0.691643863773309","0.691643863773309","0.691643863773309"
"21","0.7033260701322894","0.7033260701322894","0.7033260701322894","0.7138474297052905","0.7138474297052905","0.7138474297052905","0.6960405002396622","0.6960405002396622","0.6960405002396622"
"22","0.7096124553319199","0.7096124553319199","0.7096124553319199","0.7183202482452798","0.7183202482452798","0.7183202482452798","0.7075031361216777","0.7075031361216777","0.7075031361216777"
"23","0.7179363500011602","0.7179363500011602","0.7179363500011602","0.7089362089229586","0.7089362089229586","0.7089362089229586","0.7074103834259815","0.7074103834259815","0.7074103834259815"
"24","0.7159179006594922","0.7159179006594922","0.7159179006594922","0.7214969558949658","0.7214969558949658","0.7214969558949658","0.709634531350449","0.709634531350449","0.709634531350449"
"25","0.718474487835405","0.718474487835405","0.718474487835405","0.7259400257500264","0.7259400257500264","0.7259400257500264","0.7130240667204578","0.7130240667204578","0.7130240667204578"
"26","0.7194242117735575","0.7194242117735575","0.7194242117735575","0.7250921091926336","0.7250921091926336","0.7250921091926336","0.7140863079892359","0.7140863079892359","0.7140863079892359"
"27","0.7251143930721764","0.7251143930721764","0.7251143930721764","0.7297854584123048","0.7297854584123048","0.7297854584123048","0.7271035461803254","0.7271035461803254","0.7271035461803254"
"28","0.7309056562952224","0.7309056562952224","0.7309056562952224","0.7368470419849611","0.7368470419849611","0.7368470419849611","0.729290147248123","0.729290147248123","0.729290147248123"
"29","0.7341924344697869","0.7341924344697869","0.7341924344697869","0.7185718953249843","0.7185718953249843","0.7185718953249843","0.7189590419318916","0.7189590419318916","0.7189590419318916"